gram,counts
covid 19,122098
new cases,1971
public health,1430
last year,1136
tested positive,1031
fully vaccinated,819
24 hours,757
get vaccine,671
vaccine doses,668
vaccine passports,660
active cases,649
first dose,641
united states,586
health care,543
astrazeneca vaccine,537
health officials,536
vaccine rollout,518
stay home,510
blood clots,509
mental health,507
herd immunity,493
world health,492
one year,485
death toll,484
third wave,480
real world,454
confirmed cases,451
health minister,451
white house,447
new deaths,441
first time,438
