gram,counts
covid 19,125093
july14coup whatshappeninginmyanmar,20303
whatshappeninginmyanmar july14coup,19983
myanmarneedso2 july14coup,16177
myanmarneedso2 whatshappeninginmyanmar,10106
july14coup myanmarneedso2,8789
whatshappeninginmyanmar myanmarneedso2,4689
really need,3634
2021 vaccine,3551
min age,3550
vaccine vaccinepune,3550
vaccinepune cowin,3550
covishield min,2933
third wave,2423
new cases,2301
21st century,1955
queen panthwars,1905
strike whatshappeninginmyanmar,1905
july14coup againstmyanmarmilitarycoup,1903
myanmarneeds02 whatshappeninginmyanmar,1899
military coup,1864
wave spreading,1831
need international,1827
whatshappeninginmyanmar crimesagainsthumanity,1825
fully vaccinated,1821
international help,1820
help now,1809
weapon myanmarneedso2,1789
using pandemic,1786
pandemic weapon,1784
terrorists brutally,1753
brutally abusing,1752
civilians mercilessly,1752
they must,1752
mercilessly they,1749
must arrested,1739
arrested immediately,1733
immediately whatshappeninginmyanmar,1731
coup july14coup,1672
staged domestic,1614
young activists,1607
activists mawlamyine,1605
oxygen canisters,1598
outside factory,1592
canisters outside,1591
factory mandalay,1585
myanmar july14coup,1503
waiting fill,1501
civilians stuck,1379
stuck coup,1376
really heartbreaking,1320
last year,1103
public health,993
