gram,counts
covid 19,149848
vaccine distribution,3370
new cases,2228
public health,1795
inheriting nonexistent,1623
white house,1412
from scratch,1361
united states,1349
tested positive,1324
scratch sources,1269
death toll,1137
vaccine rollout,1054
last year,955
one year,879
nursing homes,859
health care,848
south africa,841
stay home,832
long term,807
first full,806
24 hours,779
mental health,732
first dose,709
day office,702
vaccine doses,635
new deaths,611
vaccine plan,603
production act,596
active cases,595
health officials,565
