gram,counts
covid 19,141506
new cases,3557
tested positive,1927
public health,1901
death toll,1284
active cases,1240
24 hours,1111
united states,954
herd immunity,892
confirmed cases,892
south korea,838
long term,838
mental health,801
nursing homes,778
new deaths,754
white house,738
face masks,674
please help,668
health care,627
second wave,624
back school,616
total number,541
death rate,523
stay home,512
every day,512
aged care,504
new death,503
around world,501
cases deaths,501
health officials,498
children may,486
