gram,counts
covid 19,133103
july13coup whatshappeninginmyanmar,16151
whatshappeninginmyanmar july13coup,8930
myanmarneedso2 whatshappeninginmyanmar,4654
2021 vaccine,3577
min age,3576
vaccine vaccinepune,3576
vaccinepune cowin,3576
death toll,3001
third wave,2878
covishield min,2824
military dictatorship,2663
july13coup myanmarneedso2,2213
myanmarneedso2 july13coup,2130
military coup,2105
july13coup myanmarneeds02,2079
region july13coup,2072
new cases,2015
based rural,1997
human rights,1986
earn living,1982
group make,1981
magway division,1980
coup 20,1980
division based,1979
living third,1979
rice july13coup,1976
military council,1897
spreading terribly,1874
terribly myanmar,1874
myanmar worrying,1848
worrying myanmarneedso2,1847
rights abuses,1816
civilians military,1809
increasing day,1804
number patients,1794
patients infected,1790
deficiency increasing,1786
suffering much,1710
toll nearly,1709
much coup,1707
whatshappeninginmyanmar tostevinm,1540
conditions change,1539
across country,1528
effective treatment,1523
patients myanmarneedso2,1500
tsp whatshappeninginmyanmar,1442
plant youths,1439
fully vaccinated,1342
chin state,1237
football club,1232
