gram,counts
covid 19,100348
july7coup whatshappeninginmyanmar,8953
stoptorture july7coup,5227
2021 vaccine,3402
min age,3397
vaccine vaccinepune,3397
vaccinepune cowin,3397
covishield min,2912
july7coup stoptorture,2863
stoptorture whatshappeninginmyanmar,2656
believed infecting,2651
photo yin,2622
death rate,2371
mortality rate,2367
military terrorists,2266
still increasing,2246
terrorists care,2238
increasing coz,2232
facing fatal,1944
infection also,1940
terrorists july7coup,1938
ppl facing,1934
whatshappeninginmyanmar stoptorture,1915
unforgettable7thjuly july7coup,1891
new cases,1797
fascist army,1774
army springrevolution,1760
whatshappeninginmyanmar july7coup,1683
every day,1660
international community,1581
community funds,1535
since outbreak,1534
nearly 500,1530
40 suspected,1526
nearly 20,1525
amp nearly,1513
cylinder price,1512
usd since,1512
scarcity oxygen,1511
tanks town,1511
day scarcity,1510
outbreak stoptorture,1508
town stoptorture,1497
human rights,1273
fully vaccinated,1254
special court,1230
court suspended,1219
lockdown beginning,1219
escalating numbers,1219
outbreak from,1217
from july7,1217
july7 court,1217
suspended stoptorture,1217
