gram,counts
covid 19,94417
july17coup whatshappeninginmyanmar,31924
weapons july17coup,24831
weapons whatshappeninginmyanmar,10801
whatshappeninginmyanmar july17coup,8529
death toll,6121
whatshappeninginmyanmar myanmarneedso2,5862
2021 vaccine,3244
min age,3240
vaccine vaccinepune,3240
vaccinepune cowin,3240
high death,3223
campaign youths,3081
covishield min,2703
public health,2318
fully vaccinated,1873
terrorists looted,1847
looted medical,1847
done anything,1844
anything effective,1841
concerned lack,1806
around 800,1782
longlone township,1757
township junta,1751
youths kyetyettwin,1750
health system,1718
olympic village,1711
min thein,1707
military dictator,1688
deaths many,1657
thein former,1634
his wife,1627
deficiency rising,1622
tested positive,1619
positive his,1614
toll around,1593
rely other,1574
other junta,1573
weapon suppress,1569
nationwide anti,1569
suppress nationwide,1568
outbreak amp,1503
donated masks,1499
amp protested,1498
youths donated,1486
kyatyettwin youths,1485
new cases,1463
releasethedetainees july17coup,1365
heart hurtjunta,1360
basic needs,1331
needs foods,1329
