gram,counts
covid 19,83493
emergency use,1796
new cases,1582
innovation vaccine,1279
vaccine uphill,1279
pandemic employees,1196
use authorization,1157
last year,1002
single shot,807
fda authorizes,784
public health,775
authorizes johnson,676
authorization johnson,667
leave recover,636
private hospitals,548
one year,513
united states,494
mental health,481
active cases,449
24 hours,444
johnson vaccine,432
one shot,430
white house,419
new deaths,405
february 27,402
shot cleared,391
third vaccine,389
stay home,386
vaccine emergency,386
cleared giving,376
death toll,366
vaccine doses,366
hancock mp,352
matthew hancock,350
house passed,347
recover side,346
amp vaccine,344
