gram,counts
covid 19,163503
new cases,4462
tested positive,2907
public health,2562
stay home,2466
white house,2403
united states,1760
health care,1160
death toll,1153
second wave,1131
mental health,1124
active cases,1043
long term,1025
24 hours,975
wash hands,966
every day,959
adviser corey,901
cases deaths,851
new deaths,849
mask wearing,809
loved ones,795
health officials,787
positivity rate,782
across country,769
fake news,760
herd immunity,727
first time,719
pfizer vaccine,708
at home,698
hold up,697
confirmed cases,683
risk anywhere,659
