gram,counts
covid 19,84929
new cases,1850
second wave,1547
cvs near,1508
24 hours,1219
ignored warnings,836
public health,814
fully vaccinated,791
last year,754
india government,741
tested positive,714
active cases,673
stay home,634
first time,620
emergency use,614
please help,601
death toll,510
blood type,492
take care,487
mental health,471
around world,455
india reports,439
health care,437
anthony fauci,408
vaccine doses,407
2primary number,406
united states,381
loved ones,370
first dose,365
recovered patientnumber,364
