gram,counts
covid 19,81476
whatshappeninginmyanmar june17coup,2786
new cases,1423
fully vaccinated,872
min age,812
2021 vaccine,811
vaccine vaccinepune,811
vaccinepune cowin,811
public health,777
last year,726
june17coup whatshappeninginmyanmar,646
24 hours,620
covishield min,559
active cases,523
third wave,515
united states,503
first dose,485
vaccine doses,455
confirmed cases,427
death toll,405
mental health,399
tested positive,373
long term,365
total number,357
health officials,352
health care,338
