gram,counts
covid 19,157924
death toll,2399
new cases,2162
public health,1810
tested positive,1368
united states,1281
death rate,1132
last year,1118
vaccine rollout,1081
vaccine programme,947
stay home,936
able play,923
government pharmacies,912
long term,867
loved ones,825
south africa,786
24 hours,761
active cases,757
mental health,733
one isolated,731
health care,710
vaccine distribution,699
first dose,656
health officials,626
vaccine doses,624
new deaths,623
nursing homes,608
watch live,593
get vaccine,591
nursing home,585
confirmed cases,550
