gram,counts
covid 19,100465
aug30coup whatshappeninginmyanmar,2814
new cases,1783
third wave,1474
fully vaccinated,1445
kyawmoetunrepresentsmyanmar aug30coup,1400
whatshappeninginmyanmar auspicerefugees,1288
situation whatshappeninginmyanmar,1232
military government,1221
wave daring,1220
government whatshappeninginmyanmar,1218
aug29coup whatshappeninginmyanmar,997
kyawmoetunrepresentsmyanmar aug29coup,994
hospital treat,985
whatshappeninginmyanmar aug30coup,972
public health,867
south africa,755
give insight,710
24 hours,705
stay home,697
scientists usafacts,691
death linked,686
first death,685
cdc warnings,684
mr anti,677
zealand reports,617
reports first,595
last year,595
united states,558
tested positive,551
booster shots,547
active cases,538
health care,491
total deaths,484
aug30coup kyawmoetunrepresentsmyanmar,454
mental health,453
month imprisonment,432
