gram,counts
covid 19,158864
tested positive,6000
new cases,3471
second wave,1969
public health,1918
please help,1560
death toll,1283
face masks,1236
active cases,1185
herd immunity,1121
best support,1113
really difficult,1109
today really,1105
aid donation,1100
impact please,1099
support monthly,1095
monthly food,1095
24 hours,1043
mental health,1010
new normal,995
white house,978
long term,964
boris johnson,945
confirmed cases,889
tracing app,886
recovery rate,858
united states,840
health care,829
new deaths,826
health officials,756
masks could,744
download app,731
