gram,counts
covid 19,109841
new cases,1808
public health,1487
vaccine doses,1004
nursing homes,1003
last year,744
fast changing,714
changing revolving,713
innovation vaccine,713
vaccine uphill,713
vaccine rollout,699
mental health,662
white house,656
first dose,623
tested positive,610
24 hours,578
vaccine distribution,575
nursing home,562
health officials,545
active cases,541
united states,529
health care,523
pfizer vaccine,518
confirmed cases,505
takedowntheccp 爆料革命,502
evidence based,497
death toll,494
boris johnson,493
new deaths,491
february 2021,480
