gram,counts
covid 19,106467
july8coup whatshappeninginmyanmar,8659
stoptorture july8coup,5250
2021 vaccine,3376
min age,3375
vaccine vaccinepune,3375
vaccinepune cowin,3375
whatshappeninginmyanmar july8coup,2889
covishield min,2833
third wave,2183
daily cases,1956
whatshappeninginmyanmar milkteaalliance,1923
cases rising,1835
new cases,1822
cases increase,1814
military coup,1699
deaths 57,1660
seriously suffering,1656
wave amid,1656
partial lockdowns,1655
lockdowns since,1655
areas nationwide,1654
nationwide put,1653
coup areas,1650
patients treated,1633
treated home,1624
become scarce,1616
hospitals become,1616
become overcrowded,1616
overcrowded amp,1616
increase myanmar,1615
supplies become,1615
buy resupply,1615
forced buy,1614
citizens forced,1613
home stoptorture,1599
fully vaccinated,1581
death toll,1409
thursdayvibes traffic,1312
tokyo olympics,1190
public health,1071
starving houses,943
houses re,943
military regime,935
supply food,916
july8coup stoptorture,880
tbt thursdayvibes,880
need accountability,871
whatshappeninginmyanmar july9coup,866
gobolts indicttrump,856
antonioguterres faoafrica,849
coming roll,845
vaccine uganda,844
personal businesses,844
stanleycup throwbackthursday,832
know silent,812
24 hours,800
accountability funds,752
without spectators,736
apartments built,719
new apartments,718
vaccine booster,707
stoptorture whatshappeninginmyanmar,703
