gram,counts
covid 19,117153
new cases,1830
safe effective,1453
public health,1201
single shot,1189
mental health,1048
vaccine doses,1034
vaccine safe,1007
last year,919
whatshappeninginmyanmar feb24coup,788
health workers,784
vaccine rollout,747
emergency use,697
south africa,697
long term,684
february 24,663
one shot,639
health care,603
real world,600
united states,584
effective preventing,567
24 hours,542
active cases,538
white house,512
first dose,507
death toll,499
new deaths,494
health officials,488
related facemasks,488
facemasks well,488
stickers pillows,487
pillows etc,487
tested positive,478
dose vaccine,476
stay home,466
family members,462
without permission,460
around world,458
great news,453
get vaccine,448
permission family,436
february 2021,434
vaccine passports,421
johnson vaccine,415
changing revolving,415
vaccine uphill,415
vaccine effective,410
