gram,counts
covid 19,143781
new cases,2644
public health,1660
stay home,1552
tested positive,1453
south africa,1404
first time,1356
vaccine rollout,1245
vaccine doses,1093
24 hours,1078
health care,1025
death toll,1001
united states,897
pfizer vaccine,850
vaccine appears,810
last year,783
first dose,736
10 months,706
vaccine distribution,662
biontech vaccine,658
health officials,641
health services,631
active cases,616
new deaths,613
every day,611
second wave,581
new strain,570
south african,568
frontline workers,568
white house,553
mental health,534
speed release,534
vaccine works,533
get vaccine,529
healthcare workers,529
