gram,counts
covid 19,159830
tested positive,4236
herd immunity,3510
vaccine trial,3457
new cases,3177
white house,2042
public health,1914
mental health,1498
second wave,1392
boris johnson,1093
health care,1049
vaccine trials,1044
death toll,1027
united states,1025
active cases,1010
health experts,964
confirmed cases,902
25 year,855
safety concerns,800
first time,775
antibody treatment,764
vaccine study,745
cases deaths,718
new deaths,710
wear masks,708
twice second,702
tested negative,701
around world,693
testing positive,684
stay home,675
